timestamp,latitude,longitude
3.195381600000000000e+07,3.860037134348031884e+01,-9.019424952636705939e+01
3.195386100000000000e+07,3.860037067681365386e+01,-9.019425219303371932e+01
3.195388700000000000e+07,3.860036957536437541e+01,-9.019425242491777794e+01
3.195393200000000000e+07,3.860036781345961288e+01,-9.019425156777492703e+01
3.195397700000000000e+07,3.860036581345961793e+01,-9.019425234711766848e+01
3.195402200000000000e+07,3.860036511780744206e+01,-9.019425652103069524e+01
3.195404500000000000e+07,3.860036685693787462e+01,-9.019425881088577057e+01
3.195409000000000000e+07,3.860036780931882561e+01,-9.019425947755243556e+01
3.195411700000000000e+07,3.860036824410143197e+01,-9.019426101378431326e+01
3.195416200000000000e+07,3.860037102344415416e+01,-9.019426301378432242e+01
3.195418600000000000e+07,3.860037419011082704e+01,-9.019426584711766282e+01
3.195423100000000000e+07,3.860037619011082199e+01,-9.019426884711765524e+01
3.195425700000000000e+07,3.860037614729736788e+01,-9.019427123855496120e+01
3.195430200000000000e+07,3.860037561069006529e+01,-9.019427467829233080e+01
3.195432600000000000e+07,3.860037494402340030e+01,-9.019427867829233492e+01
3.195437100000000000e+07,3.860037513416424559e+01,-9.019428313603881975e+01
3.195439500000000000e+07,3.860037580083091768e+01,-9.019428780270547463e+01
3.195444000000000000e+07,3.860037561656590555e+01,-9.019428818986904162e+01
3.195446700000000000e+07,3.860037494989923346e+01,-9.019428618986903246e+01
3.195451200000000000e+07,3.860037398020226362e+01,-9.019428238022328514e+01
3.195455700000000000e+07,3.860037270747498894e+01,-9.019427765295054655e+01
3.195457600000000000e+07,3.860036963501122642e+01,-9.019427602976215042e+01
3.195462100000000000e+07,3.860036563501122941e+01,-9.019427729736777621e+01
3.195464700000000000e+07,3.860036120022861894e+01,-9.019427842780255844e+01
3.195469200000000000e+07,3.860035728356194795e+01,-9.019427934446923700e+01
3.195471700000000000e+07,3.860035495022861340e+01,-9.019427967780256949e+01
3.195476200000000000e+07,3.860035361689528344e+01,-9.019427967780256949e+01
3.195480700000000000e+07,3.860035451685159558e+01,-9.019428038160336314e+01
3.195481600000000000e+07,3.860035726914517795e+01,-9.019428159872873607e+01
3.195486100000000000e+07,3.860036060247850287e+01,-9.019428330706206509e+01
3.195488700000000000e+07,3.860036224567099339e+01,-9.019428243264891876e+01
3.195493200000000000e+07,3.860036291233765837e+01,-9.019428022431557679e+01
3.195497700000000000e+07,3.860036486471861394e+01,-9.019428293860130452e+01
3.195500700000000000e+07,3.860036667424242296e+01,-9.019428827193463860e+01
3.195505200000000000e+07,3.860036831060605778e+01,-9.019429330223766783e+01
3.195507700000000000e+07,3.860036981521739108e+01,-9.019429585559734619e+01
3.195512200000000000e+07,3.860037114855072105e+01,-9.019429718893067616e+01
3.195516700000000000e+07,3.860038324524283837e+01,-9.019428855236830600e+01
3.195521200000000000e+07,3.860040610529372884e+01,-9.019427048112149237e+01
3.195523700000000000e+07,3.860043802196039309e+01,-9.019424423112148759e+01
3.195528200000000000e+07,3.860046881362706017e+01,-9.019421960612149292e+01
3.195530700000000000e+07,3.860049881362705548e+01,-9.019419627278816165e+01
3.195535200000000000e+07,3.860052886557511442e+01,-9.019417311694400041e+01
3.195537600000000000e+07,3.860055935042359465e+01,-9.019415032906522356e+01
3.195542100000000000e+07,3.860059001709026205e+01,-9.019412728739854401e+01
3.195546600000000000e+07,3.860062143375692756e+01,-9.019410287073188215e+01
3.195550700000000000e+07,3.860065360042359828e+01,-9.019407707906520955e+01
3.195555200000000000e+07,3.860068626709026773e+01,-9.019405041239855336e+01
3.195558700000000000e+07,3.860071779089978605e+01,-9.019402349573188360e+01
3.195563200000000000e+07,3.860074779089978847e+01,-9.019399632906521447e+01
3.195567700000000000e+07,3.860077689234906018e+01,-9.019397116964492511e+01
3.195568600000000000e+07,3.860080605024380418e+01,-9.019394769596070205e+01
3.195573100000000000e+07,3.860082426934116029e+01,-9.019393345088235492e+01
3.195577600000000000e+07,3.860083154964114982e+01,-9.019392843440988372e+01
3.195580600000000000e+07,3.860082888297448278e+01,-9.019393176774322285e+01
3.195585100000000000e+07,3.860082659130781479e+01,-9.019393229584399307e+01
3.195589600000000000e+07,3.860082459130781274e+01,-9.019393043537887422e+01
3.195592600000000000e+07,3.860082168221690324e+01,-9.019392716265160459e+01
3.195597100000000000e+07,3.860081880644346342e+01,-9.019392312679566714e+01
3.195601600000000000e+07,3.860081669126021353e+01,-9.019391881265954680e+01
3.195606100000000000e+07,3.860081476848534976e+01,-9.019391534145535161e+01
3.195609700000000000e+07,3.860081303811885789e+01,-9.019391271318310999e+01
3.195614200000000000e+07,3.860081103811885583e+01,-9.019391071318310082e+01
3.195618700000000000e+07,3.860080973377102964e+01,-9.019390939796571161e+01
3.195622600000000000e+07,3.860080973377102964e+01,-9.019390856463238038e+01
3.195627100000000000e+07,3.860081094210436703e+01,-9.019390777296570150e+01
3.195631600000000000e+07,3.860081220087629106e+01,-9.019390632998324975e+01
3.195636100000000000e+07,3.860081351008682304e+01,-9.019390423568501092e+01
3.195640600000000000e+07,3.860081486973594167e+01,-9.019390149007097079e+01
3.195641700000000000e+07,3.860081624473594530e+01,-9.019389819840429823e+01
3.195646200000000000e+07,3.860081757806927527e+01,-9.019389579530353274e+01
